cve_id,response
CVE-2025-28874,7.2
CVE-2025-28875,7.0
CVE-2025-28876,6.1
CVE-2025-28877,6.1
CVE-2025-28878,"7.3
"
CVE-2025-28879,"7.2
"
CVE-2025-28880,"7.4
"
CVE-2025-28881,6.1
CVE-2025-28882,7.4
CVE-2025-28883,6.1
CVE-2025-28884,6.1
CVE-2025-28885,"7.7
"
CVE-2025-28886,6.1
CVE-2025-28887,5.7
CVE-2025-28889,7.4
CVE-2025-28890,"7.4
"
CVE-2025-28891,7.4
CVE-2025-28892,"7.5
"
CVE-2025-28893,"9.1
"
CVE-2025-28894,7.0
CVE-2025-28895,7.9
CVE-2025-28896,6.1
CVE-2025-28897,"7.3
"
CVE-2025-28898,"7.9
"
CVE-2025-28899,7.4
CVE-2025-28900,"7.4
"
CVE-2025-28901,7.5
CVE-2025-28902,5.7
CVE-2025-28903,6.1
CVE-2025-28904,"7.9
"
CVE-2025-28905,"7.8
"
CVE-2025-28906,7.4
CVE-2025-28907,7.4
CVE-2025-28908,7.2
CVE-2025-28909,6.1
CVE-2025-2891,7.6
CVE-2025-28910,6.1
CVE-2025-28911,7.4
CVE-2025-28912,6.1
CVE-2025-28913,6.1
CVE-2025-28914,7.4
CVE-2025-28915,"9.1
"
CVE-2025-28916,7.2
CVE-2025-28917,7.0
CVE-2025-28918,7.4
CVE-2025-28919,"7.4
"
CVE-2025-28920,7.2
CVE-2025-28921,"7.1
"
CVE-2025-28922,6.1
CVE-2025-28923,7.4
CVE-2025-28924,"7.1
"
CVE-2025-28925,7.5
CVE-2025-28926,7.4
CVE-2025-28927,6.1
CVE-2025-28928,7.4
CVE-2025-28929,"7.0
"
CVE-2025-28930,"7.8
"
CVE-2025-28931,7.5
CVE-2025-28932,"7.5
"
CVE-2025-28933,7.0
CVE-2025-28934,"7.4
"
CVE-2025-28935,7.4
CVE-2025-28936,"7.0
"
CVE-2025-28937,"7.8
"
CVE-2025-28938,"7.2
"
CVE-2025-28939,"7.9
"
CVE-2025-2894,9.8
CVE-2025-28940,6.1
CVE-2025-28941,"5.3
"
CVE-2025-28942,"7.9
"
CVE-2025-28943,7.2
CVE-2025-2901,"6.1
"
CVE-2025-2906,6.1
CVE-2025-29266,"9.1
"
CVE-2025-29766,6.1
CVE-2025-29768,"5.3
"
CVE-2025-29770,6.1
CVE-2025-29773,5.6
CVE-2025-29778,"9.1
"
CVE-2025-29781,6.4
CVE-2025-29783,"9.1
"
CVE-2025-29786,"6.1
"
CVE-2025-29788,7.2
CVE-2025-29795,"1.0
"
CVE-2025-29796,"1.0
"
CVE-2025-29806,"1.0
"
CVE-2025-29807,"1.0
"
CVE-2025-29814,"1.0
"
CVE-2025-29815,"1.0
"
CVE-2025-29903,"7.8
"
CVE-2025-29904,7.5
CVE-2025-29908,6.1
CVE-2025-29914,7.6
CVE-2025-29922,7.6
CVE-2025-29923,6.7
CVE-2025-29927,7.6
CVE-2025-29928,6.1
CVE-2025-29929,"6.1
"
CVE-2025-29932,6.1
CVE-2025-29981,"6.3
"
CVE-2025-29982,"6.1
"
CVE-2025-29987,"8.8
"
CVE-2025-29991,7.6
CVE-2025-30004,"9.1
"
CVE-2025-30005,8.3
CVE-2025-30006,6.1
CVE-2025-30066,"7.8
"
CVE-2025-30074,"7.8
"
CVE-2025-30076,"7.8
"
CVE-2025-30077,"6.3
"
CVE-2025-30089,6.1
CVE-2025-30090,7.4
CVE-2025-3011,"9.1
"
CVE-2025-30143,"7.4
"
CVE-2025-30144,7.7
CVE-2025-30149,"6.1
"
CVE-2025-30152,7.2
CVE-2025-30153,7.2
CVE-2025-30154,"9.1
"
CVE-2025-30155,6.1
CVE-2025-30157,6.1
CVE-2025-30162,6.1
CVE-2025-30163,6.1
CVE-2025-30164,6.1
CVE-2025-30168,7.6
CVE-2025-30179,6.1
CVE-2025-30203,"7.4
"
CVE-2025-30204,"4.7
"
CVE-2025-30205,"5.3
"
CVE-2025-30208,7.5
CVE-2025-30209,6.1
CVE-2025-30211,"7.3
"
CVE-2025-30216,"7.8
"
CVE-2025-30219,7.5
CVE-2025-30223,6.1
CVE-2025-30225,6.1
CVE-2025-30232,7.6
CVE-2025-30234,"7.3
"
CVE-2025-30235,7.2
CVE-2025-30236,7.2
CVE-2025-30258,"5.3
"
CVE-2025-30342,7.4
CVE-2025-30343,7.2
CVE-2025-30344,6.1
CVE-2025-30345,6.1
CVE-2025-30346,6.1
CVE-2025-30347,7.7
CVE-2025-30348,7.5
CVE-2025-30349,"8.8
"
CVE-2025-30350,6.1
CVE-2025-30351,7.6
CVE-2025-30352,6.1
CVE-2025-30353,7.7
CVE-2025-30355,"7.3
"
CVE-2025-30358,9.1
CVE-2025-30368,6.1
CVE-2025-30369,6.1
CVE-2025-30370,8.6
CVE-2025-30406,"9.1
"
CVE-2025-3047,7.7
CVE-2025-30472,"7.8
"
CVE-2025-3048,6.1
CVE-2025-30520,7.4
CVE-2025-30521,6.1
CVE-2025-30522,"7.5
"
CVE-2025-30523,"7.9
"
CVE-2025-30524,"7.9
"
CVE-2025-30525,"7.9
"
CVE-2025-30526,5.3
CVE-2025-30527,"7.2
"
CVE-2025-30528,7.5
CVE-2025-30529,"5.3
"
CVE-2025-30530,"7.3
"
CVE-2025-30531,6.1
CVE-2025-30532,7.4
CVE-2025-30533,7.0
CVE-2025-30534,6.1
CVE-2025-30535,"6.1
"
CVE-2025-30536,"7.2
"
CVE-2025-30537,"7.4
"
CVE-2025-30538,6.5
CVE-2025-30539,"7.2
"
CVE-2025-30540,"7.3
"
CVE-2025-30541,6.1
CVE-2025-30542,5.4
CVE-2025-30543,7.2
CVE-2025-30544,"7.4
"
CVE-2025-30545,7.2
CVE-2025-30546,"5.3
"
CVE-2025-30547,7.4
CVE-2025-30548,7.4
CVE-2025-30549,6.1
CVE-2025-30550,7.7
CVE-2025-30551,7.2
CVE-2025-30552,7.5
CVE-2025-30553,7.2
CVE-2025-30554,"6.1
"
CVE-2025-30555,7.5
CVE-2025-30556,6.1
CVE-2025-30557,"6.1
"
CVE-2025-30558,"7.8
"
CVE-2025-30559,"7.4
"
CVE-2025-30560,"7.5
"
CVE-2025-30561,"7.5
"
CVE-2025-30563,7.4
CVE-2025-30564,"7.4
"
CVE-2025-30565,7.0
CVE-2025-30566,6.1
CVE-2025-30567,6.6
CVE-2025-30568,"5.3
"
CVE-2025-30569,"7.5
"
CVE-2025-30570,"7.9
"
CVE-2025-30571,"7.9
"
CVE-2025-30572,7.5
CVE-2025-30573,7.6
CVE-2025-30574,7.0
CVE-2025-30575,7.2
CVE-2025-30576,6.1
CVE-2025-30577,"7.5
"
CVE-2025-30578,7.5
CVE-2025-30579,6.1
CVE-2025-30580,"9.1
"
CVE-2025-30581,"7.2
"
CVE-2025-30583,6.1
CVE-2025-30584,7.5
CVE-2025-30585,6.1
CVE-2025-30586,"7.5
"
CVE-2025-30587,7.5
CVE-2025-30588,7.2
CVE-2025-30589,"7.9
"
CVE-2025-30590,"7.9
"
CVE-2025-30591,7.2
CVE-2025-30592,"7.2
"
CVE-2025-30593,7.0
CVE-2025-30594,"7.7
"
CVE-2025-30595,7.0
CVE-2025-30596,7.7
CVE-2025-30597,6.1
CVE-2025-30598,6.1
CVE-2025-30599,"7.7
"
CVE-2025-30600,"7.2
"
CVE-2025-30601,5.7
CVE-2025-30602,"7.0
"
CVE-2025-30603,"7.5
"
CVE-2025-30604,"7.8
"
CVE-2025-30605,7.2
CVE-2025-30606,7.1
CVE-2025-30607,6.1
CVE-2025-30608,6.1
CVE-2025-30609,"7.2
"
CVE-2025-30610,"7.7
"
CVE-2025-30611,7.4
CVE-2025-30612,"7.4
"
