cve_id,AV_response,AC_response,PR_response,UI_response,S_response,C_response,I_response,A_response
CVE-2025-28874,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28875,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28876,AV:N,AC:H,PR:H,UI:R,S:U,C:H,I:H,A:H
CVE-2025-28877,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28878,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28879,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28880,AV:N,AC:L,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28881,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28882,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28883,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28884,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28885,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28886,AV:N,AC:H,PR:H,UI:R,S:U,C:H,I:H,A:H
CVE-2025-28887,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28889,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28890,AV:N,AC:H,PR:H,UI:R,S:U,C:H,I:H,A:H
CVE-2025-28891,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28892,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28893,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28894,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28895,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28896,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28897,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28898,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28899,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28900,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28901,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28902,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28903,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28904,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28905,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28906,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28907,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28908,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28909,AV:N,AC:L,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-2891,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28910,AV:N,AC:H,PR:H,UI:R,S:U,C:H,I:H,A:H
CVE-2025-28911,AV:N,AC:H,PR:H,UI:R,S:U,C:H,I:H,A:H
CVE-2025-28912,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28913,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28914,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28915,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28916,AV:L,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28917,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28918,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28919,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28920,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28921,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28922,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28923,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28924,AV:N,AC:H,PR:H,UI:R,S:U,C:H,I:H,A:H
CVE-2025-28925,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28926,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28927,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28928,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28929,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28930,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28931,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28932,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28933,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28934,AV:N,AC:L,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28935,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28936,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28937,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28938,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28939,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-2894,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28940,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28941,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28942,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-28943,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-2901,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-2906,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-29266,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-29766,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-29768,AV:L,AC:L,PR:L,UI:R,S:C,C:M,I:L,A:L
CVE-2025-29770,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-29773,AV:L,AC:H,PR:H,UI:R,S:C,C:L,I:H,A:H
CVE-2025-29778,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-29781,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-29783,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-29786,AV:N,AC:L,PR:L,UI:R,S:C,C:H,I:L,A:L
CVE-2025-29788,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-29795,AV:N,AC:L,PR:N,UI:N,S:U,C:N,I:N,A:N
CVE-2025-29796,AV:N,AC:H,PR:N,UI:N,S:U,C:N,I:N,A:N
CVE-2025-29806,AV:N,AC:L,PR:N,UI:N,S:U,C:N,I:N,A:N
CVE-2025-29807,AV:N,AC:L,PR:N,UI:N,S:U,C:N,I:N,A:N
CVE-2025-29814,AV:N,AC:L,PR:N,UI:N,S:U,C:N,I:N,A:N
CVE-2025-29815,AV:N,AC:L,PR:N,UI:N,S:C,C:N,I:N,A:N
CVE-2025-29903,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-29904,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-29908,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-29914,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-29922,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-29923,AV:N,AC:L,PR:H,UI:R,S:C,C:L,I:H,A:H
CVE-2025-29927,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-29928,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-29929,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-29932,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-29981,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-29982,AV:L,AC:L,PR:L,UI:R,S:C,C:H,I:H,A:H
CVE-2025-29987,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-29991,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30004,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30005,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30006,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30066,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30074,AV:L,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30076,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30077,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30089,AV:N,AC:H,PR:N,UI:N,S:C,C:H,I:L,A:N
CVE-2025-30090,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-3011,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30143,AV:N,AC:L,PR:H,UI:N,S:C,C:H,I:H,A:L
CVE-2025-30144,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30149,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30152,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30153,AV:N,AC:L,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30154,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30155,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30157,AV:L,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30162,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30163,AV:N,AC:L,PR:H,UI:R,S:C,C:H,I:L,A:H
CVE-2025-30164,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30168,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30179,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30203,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30204,AV:N,AC:H,PR:L,UI:R,S:C,C:L,I:L,A:L
CVE-2025-30205,AV:N,AC:L,PR:H,UI:R,S:C,C:L,I:L,A:H
CVE-2025-30208,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30209,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30211,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30216,AV:L,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30219,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30223,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30225,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30232,AV:L,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30234,AV:N,AC:H,PR:L,UI:N,S:U,C:H,I:H,A:H
CVE-2025-30235,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30236,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30258,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30342,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30343,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30344,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30345,AV:N,AC:L,PR:L,UI:R,S:C,C:L,I:L,A:L
CVE-2025-30346,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30347,AV:N,AC:H,PR:H,UI:N,S:C,C:H,I:H,A:H
CVE-2025-30348,AV:N,AC:H,PR:L,UI:N,S:C,C:H,I:N,A:H
CVE-2025-30349,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30350,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
CVE-2025-30351,AV:N,AC:H,PR:H,UI:R,S:C,C:H,I:H,A:H
