cve_id,response
CVE-2025-28874,7.5
CVE-2025-28875,6.1
CVE-2025-28876,6.5
CVE-2025-28877,6.1
CVE-2025-28878,7.5
CVE-2025-28879,6.1
CVE-2025-28880,6.1
CVE-2025-28881,6.5
CVE-2025-28882,6.1
CVE-2025-28883,6.5
CVE-2025-28884,6.5
CVE-2025-28885,6.1
CVE-2025-28886,6.5
CVE-2025-28887,6.5
CVE-2025-28889,6.1
CVE-2025-28890,6.1
CVE-2025-28891,7.5
CVE-2025-28892,6.5
CVE-2025-28893,9.8
CVE-2025-28894,7.5
CVE-2025-28895,7.5
CVE-2025-28896,6.1
CVE-2025-28897,6.5
CVE-2025-28898,7.5
CVE-2025-28899,6.1
CVE-2025-28900,7.5
CVE-2025-28901,6.5
CVE-2025-28902,6.4
CVE-2025-28903,6.1
CVE-2025-28904,7.5
CVE-2025-28905,6.1
CVE-2025-28906,6.1
CVE-2025-28907,7.5
CVE-2025-28908,6.1
CVE-2025-28909,6.5
CVE-2025-2891,7.5
CVE-2025-28910,6.5
CVE-2025-28911,6.1
CVE-2025-28912,6.5
CVE-2025-28913,6.5
CVE-2025-28914,7.5
CVE-2025-28915,7.5
CVE-2025-28916,7.5
CVE-2025-28917,6.1
CVE-2025-28918,6.1
CVE-2025-28919,6.1
CVE-2025-28920,7.5
CVE-2025-28921,6.1
CVE-2025-28922,6.5
CVE-2025-28923,7.5
CVE-2025-28924,6.1
CVE-2025-28925,6.1
CVE-2025-28926,6.1
CVE-2025-28927,6.5
CVE-2025-28928,6.1
CVE-2025-28929,7.5
CVE-2025-28930,7.5
CVE-2025-28931,6.4
CVE-2025-28932,7.5
CVE-2025-28933,6.5
CVE-2025-28934,6.1
CVE-2025-28935,6.1
CVE-2025-28936,7.5
CVE-2025-28937,6.1
CVE-2025-28938,7.5
CVE-2025-28939,7.5
CVE-2025-2894,9.8
CVE-2025-28940,6.5
CVE-2025-28941,6.5
CVE-2025-28942,9.0
CVE-2025-28943,6.1
CVE-2025-2901,6.1
CVE-2025-2906,6.1
CVE-2025-29266,9.8
CVE-2025-29766,6.5
CVE-2025-29768,4.3
CVE-2025-29770,6.5
CVE-2025-29773,5.3
CVE-2025-29778,9.8
CVE-2025-29781,7.5
CVE-2025-29783,9.8
CVE-2025-29786,5.5
CVE-2025-29788,7.8
CVE-2025-29795,7.5
CVE-2025-29796,7.5
CVE-2025-29806,7.5
CVE-2025-29807,7.5
CVE-2025-29814,7.5
CVE-2025-29815,7.5
CVE-2025-29903,7.8
CVE-2025-29904,6.5
CVE-2025-29908,7.5
CVE-2025-29914,5.3
CVE-2025-29922,7.5
CVE-2025-29923,5.9
CVE-2025-29927,7.5
CVE-2025-29928,7.5
CVE-2025-29929,6.5
CVE-2025-29932,5.3
CVE-2025-29981,7.5
CVE-2025-29982,5.3
CVE-2025-29987,9.8
CVE-2025-29991,7.5
CVE-2025-30004,9.8
CVE-2025-30005,7.5
CVE-2025-30006,6.1
CVE-2025-30066,6.5
CVE-2025-30074,7.8
CVE-2025-30076,7.8
CVE-2025-30077,7.5
CVE-2025-30089,6.5
CVE-2025-30090,6.1
CVE-2025-3011,9.8
CVE-2025-30143,6.5
CVE-2025-30144,7.5
CVE-2025-30149,6.1
CVE-2025-30152,6.5
CVE-2025-30153,7.5
CVE-2025-30154,9.8
CVE-2025-30155,5.3
CVE-2025-30157,7.5
CVE-2025-30162,6.5
CVE-2025-30163,5.5
CVE-2025-30164,6.5
CVE-2025-30168,6.5
CVE-2025-30179,7.5
CVE-2025-30203,6.1
CVE-2025-30204,5.3
CVE-2025-30205,6.5
CVE-2025-30208,6.5
CVE-2025-30209,6.5
CVE-2025-30211,7.5
CVE-2025-30216,8.8
CVE-2025-30219,8.8
CVE-2025-30223,6.1
CVE-2025-30225,7.5
CVE-2025-30232,7.8
CVE-2025-30234,6.5
CVE-2025-30235,6.5
CVE-2025-30236,7.5
CVE-2025-30258,5.5
CVE-2025-30342,6.1
CVE-2025-30343,7.5
CVE-2025-30344,5.3
CVE-2025-30345,5.4
CVE-2025-30346,6.5
CVE-2025-30347,6.5
CVE-2025-30348,5.5
CVE-2025-30349,7.5
CVE-2025-30350,7.5
CVE-2025-30351,6.5
CVE-2025-30352,6.5
CVE-2025-30353,7.5
CVE-2025-30355,7.5
CVE-2025-30358,8.6
CVE-2025-30368,7.5
CVE-2025-30369,7.1
CVE-2025-30370,7.8
CVE-2025-30406,9.8
CVE-2025-3047,7.5
CVE-2025-30472,7.8
CVE-2025-3048,5.3
CVE-2025-30520,6.1
CVE-2025-30521,6.5
CVE-2025-30522,7.5
CVE-2025-30523,7.5
CVE-2025-30524,7.5
CVE-2025-30525,7.5
CVE-2025-30526,6.1
CVE-2025-30527,7.5
CVE-2025-30528,7.5
CVE-2025-30529,6.5
CVE-2025-30530,6.1
CVE-2025-30531,6.5
CVE-2025-30532,6.1
CVE-2025-30533,6.1
CVE-2025-30534,6.5
CVE-2025-30535,6.5
CVE-2025-30536,6.1
CVE-2025-30537,6.1
CVE-2025-30538,6.5
CVE-2025-30539,6.1
CVE-2025-30540,6.1
CVE-2025-30541,6.5
CVE-2025-30542,6.5
CVE-2025-30543,7.5
CVE-2025-30544,6.1
CVE-2025-30545,6.1
CVE-2025-30546,6.5
CVE-2025-30547,6.1
CVE-2025-30548,6.1
CVE-2025-30549,6.5
CVE-2025-30550,6.4
CVE-2025-30551,7.5
CVE-2025-30552,7.5
CVE-2025-30553,6.8
CVE-2025-30554,6.1
CVE-2025-30555,6.5
CVE-2025-30556,6.5
CVE-2025-30557,6.5
CVE-2025-30558,6.1
CVE-2025-30559,6.1
CVE-2025-30560,7.5
CVE-2025-30561,6.5
CVE-2025-30563,6.1
CVE-2025-30564,7.5
CVE-2025-30565,6.5
CVE-2025-30566,6.1
CVE-2025-30567,7.5
CVE-2025-30568,6.5
CVE-2025-30569,7.5
CVE-2025-30570,7.5
CVE-2025-30571,7.5
CVE-2025-30572,6.5
CVE-2025-30573,6.1
CVE-2025-30574,7.5
CVE-2025-30575,6.1
CVE-2025-30576,6.5
CVE-2025-30577,6.1
CVE-2025-30578,6.5
CVE-2025-30579,6.1
CVE-2025-30580,9.8
