cve_id,AV_response,AC_response,PR_response,UI_response,S_response,C_response,I_response,A_response
CVE-2025-28874,AV:N,AC:H,PR:H  ←,UI:N,S:C,C:N,I:N,A:N  →
CVE-2025-28875,A:,AC:H,"H  ← where H is a valid key for PR (High) based on the description ""Cross-site Scripting"" which suggests high severity.",UI:N,C:,C:L,I:L,A:N
CVE-2025-28876,A:,AC:H,H  ← where H corresponds to a High CVSS score,R,C:C,C:N,I:N,A:N
CVE-2025-28877,A:,AC:H,H  ←,UI: R,C  ←,C:H,I:H,A:H  ←
CVE-2025-28878,A:,AC:H,H  ←,R,C:,C:H,I:N,A:N
CVE-2025-28879,A:,AC:H,PR:H  ←,R,C  →,C:H  ←,I:N,A:N
CVE-2025-28880,A:N,AC:H,H  ← where H indicates a High (CVSS 3.1) severity rating for the PR component.,UI:N,C:C,C:H,I:N,A:H  ←
CVE-2025-28881,A:N,AC:H,L  ←,UI:N,C  ←,C:L,I:L,A:H
CVE-2025-28882,A:,AC:H,L,R,S:Changed,C:H  ←,I:L,A:H  ←
CVE-2025-28883,A:N,AC:H,H  ←,R,C:,C:L,I:N,A:H
CVE-2025-28884,A:N,AC:H,L  ←,UI:N,S:C,C:N,I:N,A:N
CVE-2025-28885,AV:N,AC:H,PR:H  ←,UI:N,C  →,C:H,I:L,A:H  ←
CVE-2025-28886,A:,AC:H,L,UI:R,C:,C:H,I:N,A:N
CVE-2025-28887,A:X,AC:H,L  ←,R,C  ←,C:N,I:N,A:H
CVE-2025-28889,AV:N,AC:H,PR:H →,R,C  ←,C:H,I:L,A:L
CVE-2025-28890,A:,AC:H,"L  ←

(This is based on general CVSS scoring practices and may vary depending on individual assessors.)",UI:N,C  →,C:H,I:N,A:H  ←
CVE-2025-28891,A:N,AC:H,L ←,R,C  ←,C:L,I:N  →,A:H  ←
CVE-2025-28892,A:N,AC:H,PR:H  ←,UI:N,S:C,C:H,I:H,A:H
CVE-2025-28893,AV:N,AC:H,PR:H  ←,R,C  ←,C:H,I:N,A:H
CVE-2025-28894,N,AC:H,H  ←,UI:N,S:C,C:N,I:N,A:N  →
CVE-2025-28895,A:N,AC:H,H  ←,UI:N,S:C,C:L,I:H,A:L
CVE-2025-28896,N  ←,AC:L,PR:N,UI: None,C: 4,C:N,I:N,A:H  ←
CVE-2025-28897,A:N,AC:H,L,UI:N,C  ←,C:N,I:N,A:H  ←
CVE-2025-28898,N,AC:H,L  ←,UI:N,C  ←,C:N,I:N  →,A:L  ←
CVE-2025-28899,A:N,AC:H,L,R,S:C,C:H  ←,I:N,A:H
CVE-2025-28900,AV:N,AC:H,H  ←,R,C  ←,C:N,I:N,A:H  ←
CVE-2025-28901,AV:N,AC:H,H  ←,UI:N,C:,C:H,I:L,A:L
CVE-2025-28902,AV:N,AC:H,PR:N,UI:N,C:,C:N,I:N,A:N
CVE-2025-28903,A:,AC:H,PR:H  ←,UI:N,C  ←,C:H,I:N,A:N  →
CVE-2025-28904,A:,AC:H,L,UI:N  ←,C  →,C:H,I:N,A:L
CVE-2025-28905,A:N,AC:L,PR:H  ←,UI:N,S:C,C:N,I:N,A:H  ←
CVE-2025-28906,AV:N,AC:H,L  ←,Required,C:,C:H,I:L,A:H  ←
CVE-2025-28907,A:N,AC:L,H  ←,R  ←,C  →,C:H,I:L,A:N
CVE-2025-28908,A:N,AC:H,PR:H →,R,S:C,C:N  ←,I:L,A:H  ←
CVE-2025-28909,A:N,AC:H,L ←,UI:N,C  →,C:H,I:N,A:L
CVE-2025-2891,A:,AC:L,H  ←,UI:R,C,C:L,I:L,A:N
CVE-2025-28910,A:N,AC:H,L,R,C  →,C:L,I:N,A:L
CVE-2025-28911,A:,AC:H,L ←,UI:N,C  →,C:H,I:H  ←,A:H  ←
CVE-2025-28912,AV:N,AC:H,L  ←,UI:N,C:C,C:L,I:L,A:N
CVE-2025-28913,AV:N,AC:H,L ←,UI:N,S:C,C:L,I:N,A:L
CVE-2025-28914,"A: 

This CVSS (Common Vulnerability Scoring System) score prediction is based on a general understanding of Common Web Application Scanners and Exploit Tools, as well as the typical threat models for web applications. The AV (Attack Vector) component describes how an attacker can exploit the vulnerability.

Given the description of CVE-2025-28914, which states that ""anywhere"" allows Stored XSS, this indicates an attack vector that is adjacent to the system, implying that the system does not provide a secure boundary between untrusted input and sensitive data. This could be achieved through various methods such as client-side scripting, allowing the attacker to inject malicious scripts into the system without needing access to the underlying server.

A: Local or Adjacent could both apply in this case, as the vulnerability allows an attacker to inject malicious code from anywhere within the application. However, given that ""anywhere"" affects the login form to a specific range (from n/a through 0.2), it is reasonable to classify the attack vector as adjacent.

Therefore, A seems like the most fitting classification for this CVSS AV component, indicating an attack vector where the vulnerability allows an attacker to launch the exploit from locations next to or in the vicinity of the application's input.",AC:H,L  ←,UI:N,S:C,C:L,I:N,A:H
CVE-2025-28915,A:,AC:H,PR:H  ←,UI:N,S:C,C:H,I:L,A:H
CVE-2025-28916,AV:L,AC:H,PR:H →,UI:R,C  →,C:N,I:N,A:N
CVE-2025-28917,A:N,AC:H,L,R,C  ←,C:H,I:N,A:H
CVE-2025-28918,A:N  →,AC:H,L  ←,R,C:,C:H,I:H,A:H  ←
CVE-2025-28919,N,AC:H,PR:H  ← where H is the predicted CVSS PR component for the given CVE.,R,C ,C:H,I:N,A:N
CVE-2025-28920,A:,AC:H,L,UI:N,C:,C:N,I:N,A:H
CVE-2025-28921,A:,AC:H,PR:H  ←,UI:R,C  ←,C:N  ←,I:N  →,"A:L 

 (Note: The CVSS 3.1 A metric is affected by Reflected XSS vulnerabilities, which are considered Low severity.)"
CVE-2025-28922,N.,AC:H,L,R,S:C,C:L,I:H,A:H
CVE-2025-28923,A:,AC:H,PR:H  ←,UI:N,C:,C:H ,I:L,A:H
CVE-2025-28924,AV:N,AC:H,L  ←,UI:N,C  ←,C:H,I:N,A:H
CVE-2025-28925,A:,AC:H,PR:H  ←,UI:N,C:,C:H,I:N,A:H
CVE-2025-28926,A:,AC:H,L  ←,UI:N,C:,C:H,I:L,A:H  ←
CVE-2025-28927,A:N,AC:H,H  ←,UI:N,C:,C:L,I:N,A:H  ←
CVE-2025-28928,AV:N,AC:H,PR:H  ←,UI:N,C →,C:H,I:N,A:H
CVE-2025-28929,A:,AC:H,L  ←,R,C  ←,C:H,I:H →,A:H  ←
CVE-2025-28930,AV:N,AC:H,PR:H  ←,UI:N,C  ←,C:H,I:N,A:H  ←
CVE-2025-28931,N,AC:H,L  ←,UI:N,S:C,C:H,I:H,A:H
CVE-2025-28932,AV:N,AC:H,L  ←,UI:N,C: ↑,C:N,I:N  →,A:H  ←
CVE-2025-28933,A:N,AC:H,H  ←,R,S:U,C:H,I:N,A:L
