cve_id,response
CVE-2025-28874,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2025-28875,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:N/C:H/I:H/A:N
CVE-2025-28876,CVSS:3.1/AV:P/AC:H/PR:N/UI:R/S:C/I:N/A:N
CVE-2025-28877,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:N/C:H/I:H/A:H
CVE-2025-28878,"AV:N/A
AC:N
PR:N
UI:N
S:High
C: Partial
I:None
A:Full"
CVE-2025-28879,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:N/C:L/I:P/A:P
CVE-2025-28880,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:A/A:N
CVE-2025-28881,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/I:H/A:H
CVE-2025-28882,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:N/C:H/I:H/A:H
CVE-2025-28883,"AV:N
AC:L
PR:H
UI:R
S:C
C:H
I:H
A:H"
CVE-2025-28884,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/I:H/A:H
CVE-2025-28885,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:N/C:H/I:H/A:H
CVE-2025-28886,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/I:N/A:N
CVE-2025-28887,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/I:H/A:H
CVE-2025-28889,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:N/C:H/I:P/A:H
CVE-2025-28890,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:N/C:H/I:N/A:N
CVE-2025-28891,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:C/C:L/I:L/A:N
CVE-2025-28892,AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
CVE-2025-28893,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:C/CR:H/I:H/A:H
CVE-2025-28894,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2025-28895,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:N/C:L/I:P/A:N
CVE-2025-28896,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
CVE-2025-28897,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/I:H/A:H
CVE-2025-28898,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:N/C:H/I:P/A:N
CVE-2025-28899,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:N/C:H/I:P/A:N
CVE-2025-28900,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/I:H/A:H
CVE-2025-28901,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
CVE-2025-28902,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:C/C:L/I:N/A:L
CVE-2025-28903,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:N/C:H/I:H/A:N
CVE-2025-28904,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:N/C:H/I:H/A:H
CVE-2025-28905,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:N/C:H/I:C/A:H
CVE-2025-28906,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:N/C:H/I:A/A:S 

Note: 
- AV:N (Attack Vector) indicates that the attack can be launched from outside the network, but not via local access.
- AC:L (Confidentiality) is an indication of low to moderate risk due to potential exposure through data or input validation flaws.
- PR:N (Privilege Required) means no special privileges are needed to exploit the vulnerability.
- UI:N (User Interaction) indicates that user interaction is necessary, but does not imply the attack needs user involvement in a significant way.
- S:N (Scope) represents a high scope indicating potential widespread exposure if left unaddressed.
- C:H (Confidentiality) means there's a high risk to confidentiality as the vulnerability allows for potential unauthorized access or disclosure of sensitive data.
- I:A (Integrity) is an indication that this vulnerability may impact system integrity, and data might be modified in some way, but it does not indicate loss of control over the data itself.
- A:S (Availability) signifies that there's a high risk to availability, as exploitation could potentially lead to significant disruption or degradation of services."
CVE-2025-28907,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:N/C:H/I:P/A:P
CVE-2025-28908,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:N/C:L/I:N/A:N
CVE-2025-28909,"AV:N
AC:H
PR:N
UI:R
S:C
C:L
I:L
A:N"
CVE-2025-2891,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/I:H/A:H
