cve_id,response
CVE-2025-28874,6.4
CVE-2025-28875,6.4
CVE-2025-28876,6.9
CVE-2025-28877,6.8
CVE-2025-28878,6.5
CVE-2025-28879,6.5
CVE-2025-28880,6.0
CVE-2025-28881,6.0
CVE-2025-28882,6.4
CVE-2025-28883,6.4
CVE-2025-28884,6.0
CVE-2025-28885,6.0
CVE-2025-28886,6.0
CVE-2025-28887,6.3
CVE-2025-28889,6.4
CVE-2025-28890,6.0
CVE-2025-28891,6.5
CVE-2025-28892,6.4
CVE-2025-28893,6.4
CVE-2025-28894,6.4
CVE-2025-28895,6.0
CVE-2025-28896,6.4
CVE-2025-28897,6.0
CVE-2025-28898,6.0
CVE-2025-28899,6.4
CVE-2025-28900,6.3
CVE-2025-28901,6.4
CVE-2025-28902,8.5
CVE-2025-28903,8.2
CVE-2025-28904,8.5
CVE-2025-28905,6.4
CVE-2025-28906,6.4
CVE-2025-28907,6.4
CVE-2025-28908,6.3
CVE-2025-28909,6.9
CVE-2025-2891,7.8
CVE-2025-28910,8.0
CVE-2025-28911,7.8
CVE-2025-28912,7.8
CVE-2025-28913,6.4
CVE-2025-28914,6.4
CVE-2025-28915,6.0
CVE-2025-28916,6.0
CVE-2025-28917,8.8
CVE-2025-28918,6.9
CVE-2025-28919,6.5
CVE-2025-28920,6.0
CVE-2025-28921,6.4
CVE-2025-28922,6.8
CVE-2025-28923,6.4
CVE-2025-28924,6.4
CVE-2025-28925,6.0
CVE-2025-28926,6.9
CVE-2025-28927,6.9
CVE-2025-28928,8.0
CVE-2025-28929,6.0
CVE-2025-28930,6.9
CVE-2025-28931,6.4
CVE-2025-28932,6.4
CVE-2025-28933,6.0
CVE-2025-28934,6.0
CVE-2025-28935,6.4
CVE-2025-28936,6.8
CVE-2025-28937,6.4
CVE-2025-28938,8.5
CVE-2025-28939,7.8
CVE-2025-2894,8.9
CVE-2025-28940,6.0
CVE-2025-28941,6.8
CVE-2025-28942,6.8
CVE-2025-28943,6.0
CVE-2025-2901,8.6
CVE-2025-2906,8.6
CVE-2025-29266,8.0
CVE-2025-29766,6.4
CVE-2025-29768,6.4
CVE-2025-29770,6.4
CVE-2025-29773,6.4
CVE-2025-29778,6.4
CVE-2025-29781,6.3
CVE-2025-29783,7.0
CVE-2025-29786,6.4
CVE-2025-29788,6.9
CVE-2025-29795,I don't have access to the CVE description for CVE-2025-29795. Could you please provide it? I'll be happy to help with assessing its severity and returning the corresponding CVSS 3.1 Base Score once I have more information.
CVE-2025-29796,I don't have the ability to look up the CVSS score for CVE-2025-29796 as that information is not publicly available. Can I help you with anything else?
CVE-2025-29806,6.8
CVE-2025-29807,6.0
CVE-2025-29814,6.0
CVE-2025-29815,"I don't have access to external information such as the CVE description for CVE-2025-29815. 

If you provide the CVE description, I'll be happy to assist you with the CVSS 3.1 Base Score assessment."
CVE-2025-29903,6.4
CVE-2025-29904,6.8
CVE-2025-29908,6.0
