cve_id,response
CVE-2025-28874,7.6
CVE-2025-28875,6.1
CVE-2025-28876,6.5
CVE-2025-28877,6.1
CVE-2025-28878,6.1
CVE-2025-28879,6.1
CVE-2025-28880,6.1
CVE-2025-28881,6.5
CVE-2025-28882,6.1
CVE-2025-28883,6.5
CVE-2025-28884,7.5
CVE-2025-28885,6.1
CVE-2025-28886,6.5
CVE-2025-28887,6.5
CVE-2025-28889,6.1
CVE-2025-28890,6.1
CVE-2025-28891,6.8
CVE-2025-28892,6.5
CVE-2025-28893,9.8
CVE-2025-28894,6.5
CVE-2025-28895,6.1
CVE-2025-28896,6.5
CVE-2025-28897,6.5
CVE-2025-28898,9.8
CVE-2025-28899,6.1
CVE-2025-28900,6.5
CVE-2025-28901,6.5
CVE-2025-28902,6.5
CVE-2025-28903,6.1
CVE-2025-28904,7.5
CVE-2025-28905,6.1
CVE-2025-28906,6.1
CVE-2025-28907,6.1
CVE-2025-28908,6.1
CVE-2025-28909,6.5
CVE-2025-2891,9.8
CVE-2025-28910,6.5
CVE-2025-28911,6.1
CVE-2025-28912,6.5
CVE-2025-28913,6.5
CVE-2025-28914,6.1
CVE-2025-28915,9.8
CVE-2025-28916,8.2
CVE-2025-28917,6.1
CVE-2025-28918,6.1
CVE-2025-28919,6.1
CVE-2025-28920,6.5
CVE-2025-28921,6.1
CVE-2025-28922,6.5
CVE-2025-28923,6.5
CVE-2025-28924,6.1
CVE-2025-28925,6.5
CVE-2025-28926,6.1
CVE-2025-28927,6.5
CVE-2025-28928,6.1
CVE-2025-28929,6.5
CVE-2025-28930,6.1
CVE-2025-28931,6.1
CVE-2025-28932,6.5
CVE-2025-28933,6.5
CVE-2025-28934,6.1
CVE-2025-28935,6.1
CVE-2025-28936,6.1
CVE-2025-28937,6.1
CVE-2025-28938,6.5
CVE-2025-28939,9.8
CVE-2025-2894,9.8
CVE-2025-28940,6.5
CVE-2025-28941,6.5
CVE-2025-28942,9.8
CVE-2025-28943,6.1
CVE-2025-2901,6.5
CVE-2025-2906,9.3
CVE-2025-29266,9.8
CVE-2025-29766,6.5
CVE-2025-29768,6.5
CVE-2025-29770,5.3
CVE-2025-29773,6.5
CVE-2025-29778,9.8
CVE-2025-29781,6.5
CVE-2025-29783,10.0
CVE-2025-29786,5.3
CVE-2025-29788,7.2
CVE-2025-29795,6.5
CVE-2025-29796,10.0
CVE-2025-29806,0.0
CVE-2025-29807,10.0
CVE-2025-29814,9.8
CVE-2025-29815,7.2
CVE-2025-29903,7.5
CVE-2025-29904,5.3
CVE-2025-29908,4.0
CVE-2025-29914,6.5
CVE-2025-29922,6.5
CVE-2025-29923,6.5
CVE-2025-29927,6.5
CVE-2025-29928,6.5
CVE-2025-29929,6.5
CVE-2025-29932,6.5
CVE-2025-29981,7.5
CVE-2025-29982,6.5
CVE-2025-29987,10.0
CVE-2025-29991,6.5
CVE-2025-30004,9.8
CVE-2025-30005,6.5
CVE-2025-30006,6.1
CVE-2025-30066,7.5
CVE-2025-30074,7.2
CVE-2025-30076,9.8
CVE-2025-30077,5.3
CVE-2025-30089,5.3
CVE-2025-30090,6.1
CVE-2025-3011,9.8
CVE-2025-30143,6.5
CVE-2025-30144,6.5
CVE-2025-30149,6.5
CVE-2025-30152,6.5
CVE-2025-30153,9.8
CVE-2025-30154,10.0
CVE-2025-30155,6.5
CVE-2025-30157,6.5
CVE-2025-30162,7.2
CVE-2025-30163,7.2
CVE-2025-30164,6.5
CVE-2025-30168,4.3
CVE-2025-30179,6.5
CVE-2025-30203,6.5
CVE-2025-30204,5.3
CVE-2025-30205,6.5
CVE-2025-30208,7.3
CVE-2025-30209,6.5
CVE-2025-30211,5.3
CVE-2025-30216,9.8
CVE-2025-30219,8.6
CVE-2025-30223,6.1
CVE-2025-30225,6.5
CVE-2025-30232,9.3
CVE-2025-30234,4.2
CVE-2025-30235,5.3
CVE-2025-30236,6.5
CVE-2025-30258,7.5
CVE-2025-30342,7.6
CVE-2025-30343,6.5
