cve_id,response
CVE-2025-28874,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:L  

This analysis assumes:
- **Attack Vector (AV):** Network, because the vulnerability can be exploited remotely via network communication.
- **Attack Complexity (AC):** Low, as no special conditions are required beyond user input.
- **Privileges Required (PR):** None, indicating no privileges needed to exploit the vulnerability.
- **User Interaction (UI):** None, as it doesn't require any interaction from an end-user.
- **Scope (S):** Changed, because exploiting this vulnerability affects confidentiality and integrity of data beyond the initially compromised component.
- **Confidentiality Impact (C):** High, due to potential unauthorized access to sensitive email assign templates.
- **Integrity Impact (I):** High, because modifying or manipulating email templates can affect data integrity.
- **Availability Impact (A):** Low, assuming the vulnerability does not impact system availability but affects data confidentiality and integrity."
CVE-2025-28875,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:L

"
CVE-2025-28876,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N
CVE-2025-28877,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:L/A:N

"
CVE-2025-28878,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N  

"
CVE-2025-28879,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N
CVE-2025-28880,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N  

"
CVE-2025-28881,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N
CVE-2025-28882,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N
CVE-2025-28883,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
CVE-2025-28884,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N
CVE-2025-28885,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H

"
CVE-2025-28886,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N
CVE-2025-28887,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N
CVE-2025-28889,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N
CVE-2025-28890,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N

"
CVE-2025-28891,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N
CVE-2025-28892,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
CVE-2025-28893,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2025-28894,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N  

Note:  
- AV is Network (N) because CSRF typically exploits interactions over a network via web interfaces.
- AC is Low (L) as exploitation does not require significant complexity; it relies on tricking the user to perform actions.
- PR is None (N) since no privileges are required to exploit this vulnerability.
- UI is Required (R) because the attack involves user interaction, typically through deception or trickery.
- S is Unchanged (U) as the scope does not extend beyond its original boundary.
- C is High (H) due to stored XSS allowing unauthorized actions on behalf of users leading to data exposure.
- I is High (H) as integrity can be compromised by executing malicious scripts in the context of a user session.
- A is None (N) because availability is typically not directly impacted."
CVE-2025-28895,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:N
CVE-2025-28896,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N  

"
CVE-2025-28897,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:N/A:N  

"
CVE-2025-28898,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2025-28899,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N  

"
CVE-2025-28900,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
CVE-2025-28901,"CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:L/I:H/A:N

"
CVE-2025-28902,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N  

"
CVE-2025-28903,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N
CVE-2025-28904,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H
CVE-2025-28905,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:L/A:N  

(Note: The assumptions made are based on typical characteristics of a Stored XSS vulnerability. Adjustments may be necessary with more specific information.)"
CVE-2025-28906,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N  

Note:  
- AV (Attack Vector): N for Network, since the vulnerability is accessible remotely via a web page.
- AC (Attack Complexity): L for Low, as exploiting stored XSS typically requires straightforward actions.
- PR (Privileges Required): N for None, as no special privileges are needed to exploit the vulnerability.
- UI (User Interaction): N for None, since stored XSS does not require user interaction during exploitation.
- S (Scope): U for Unchanged, because the attack does not impact other components beyond the vulnerable instance.
- C (Confidentiality), I (Integrity), A (Availability): H for High due to potential exposure of sensitive data and manipulation of web content."
CVE-2025-28907,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N  

"
CVE-2025-28908,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:L/A:N

"
CVE-2025-28909,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N
CVE-2025-2891,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H
CVE-2025-28910,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N

"
CVE-2025-28911,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H  

"
CVE-2025-28912,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N
CVE-2025-28913,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2025-28914,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N  

"
CVE-2025-28915,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2025-28916,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
CVE-2025-28917,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:L
CVE-2025-28918,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H  

"
CVE-2025-28919,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H  

"
CVE-2025-28920,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2025-28921,"CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N  

"
