cve_id,response
CVE-2025-28874,6.5
CVE-2025-28875,6.1
CVE-2025-28876,3.4
CVE-2025-28877,6.1
CVE-2025-28878,6.2
CVE-2025-28879,5.4
CVE-2025-28880,6.1
CVE-2025-28881,4.3
CVE-2025-28882,6.1
CVE-2025-28883,6.5
CVE-2025-28884,3.4
CVE-2025-28885,6.2
CVE-2025-28886,4.3
CVE-2025-28887,4.3
CVE-2025-28889,6.1
CVE-2025-28890,5.4
CVE-2025-28891,6.5
CVE-2025-28892,6.5
CVE-2025-28893,8.8
CVE-2025-28894,6.5
CVE-2025-28895,6.2
CVE-2025-28896,3.7
CVE-2025-28897,4.3
CVE-2025-28898,7.8
CVE-2025-28899,6.1
CVE-2025-28900,4.3
CVE-2025-28901,4.3
CVE-2025-28902,4.3
CVE-2025-28903,6.1
CVE-2025-28904,6.5
CVE-2025-28905,6.5
CVE-2025-28906,5.4
CVE-2025-28907,6.2
CVE-2025-28908,6.0
CVE-2025-28909,4.3
CVE-2025-2891,6.5
CVE-2025-28910,6.5
CVE-2025-28911,5.4
CVE-2025-28912,4.3
CVE-2025-28913,3.4
CVE-2025-28914,6.2
CVE-2025-28915,6.5
CVE-2025-28916,6.1
CVE-2025-28917,6.1
CVE-2025-28918,6.2
CVE-2025-28919,6.0
CVE-2025-28920,6.5
CVE-2025-28921,6.1
CVE-2025-28922,6.5
CVE-2025-28923,6.5
CVE-2025-28924,6.1
CVE-2025-28925,4.3
CVE-2025-28926,6.1
CVE-2025-28927,4.3
CVE-2025-28928,6.1
CVE-2025-28929,6.0
CVE-2025-28930,5.4
CVE-2025-28931,6.5
CVE-2025-28932,6.5
CVE-2025-28933,6.5
CVE-2025-28934,5.4
CVE-2025-28935,5.4
CVE-2025-28936,6.1
CVE-2025-28937,6.2
CVE-2025-28938,6.5
CVE-2025-28939,6.5
CVE-2025-2894,9.1
CVE-2025-28940,3.4
CVE-2025-28941,4.3
CVE-2025-28942,8.6
CVE-2025-28943,6.1
CVE-2025-2901,6.4
CVE-2025-2906,6.4
CVE-2025-29266,8.6
CVE-2025-29766,6.5
CVE-2025-29768,4.3
CVE-2025-29770,6.5
CVE-2025-29773,4.3
CVE-2025-29778,8.6
CVE-2025-29781,6.5
CVE-2025-29783,9.1
CVE-2025-29786,6.5
CVE-2025-29788,6.5
CVE-2025-29795,0.0
CVE-2025-29796,0.0
CVE-2025-29806,0.0
CVE-2025-29807,0.0
